;transfer;deepened;optimiser;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
72;True;True;adam;0.01;100;0.664493875844138;0.1130298301577568;0.6727314912355863;0.10989011079072952;0.6659971338987725;0.11616954207420348;123.0;130.0;140.0;0.01
73;True;False;adam;0.01;100;0.6549196379899604;0.12087912112474443;0.6575917185195013;0.12087912112474443;0.6522617075282325;0.12872841954231262;152.0;122.0;136.0;0.01
74;False;True;adam;0.01;100;0.6638167816765455;0.11930926144123075;0.6591367135803965;0.1240188404917717;0.6576321896990203;0.1130298301577568;112.0;105.0;129.0;0.01
75;False;False;adam;0.01;100;0.6558574046968852;0.1130298301577568;0.6593506390483264;0.12087912112474443;0.6582041496946074;0.11773940175771712;126.0;136.0;199.0;0.01
76;True;True;adam;0.01;100;0.6679393658458345;0.11459968239068985;0.6536783367348615;0.11930926144123075;0.6593137701601961;0.11616954207420348;118.0;150.0;156.0;0.001
77;True;False;adam;0.01;100;0.6589095599984449;0.11459968239068985;0.6532492310136229;0.12087912112474443;0.6518911291703324;0.12244898080825806;150.0;111.0;111.0;0.001
78;False;True;adam;0.01;100;0.6519578549326682;0.12087912112474443;0.6624735461860848;0.1130298301577568;0.6582245633965197;0.12558870017528534;84.0;87.0;100.0;0.001
79;False;False;adam;0.01;100;0.647170040072227;0.12244898080825806;0.6601891219148082;0.11930926144123075;0.6530068074141043;0.12558870017528534;125.0;174.0;176.0;0.001
80;True;True;adam;0.01;100;0.6736956730929424;0.1130298301577568;0.6588796652280368;0.11145997047424316;0.6546681621572473;0.1240188404917717;167.0;108.0;111.0;0.0001
81;True;False;adam;0.01;100;0.6564700472485888;0.11930926144123075;0.6580702908559347;0.12558870017528534;0.6529002295371314;0.1240188404917717;129.0;147.0;137.0;0.0001
82;False;True;adam;0.01;100;0.6542247774275356;0.11930926144123075;0.6501133691759274;0.12558870017528534;0.6480526042695697;0.11773940175771712;87.0;107.0;104.0;0.0001
83;False;False;adam;0.01;100;0.6527748492486436;0.12244898080825806;0.6518280492098403;0.12715855240821838;0.6549422469580753;0.12244898080825806;167.0;145.0;119.0;0.0001
84;True;True;adam;0.01;500;0.6757577661442421;0.12558870017528534;0.67319052148277;0.11616954207420348;0.6749650772362713;0.12244898080825806;105.0;107.0;164.0;0.01
85;True;False;adam;0.01;500;0.6485811558024288;0.12087912112474443;0.6522821707291356;0.12244898080825806;0.6488059018994425;0.12244898080825806;203.0;185.0;251.0;0.01
86;False;True;adam;0.01;500;0.6641441309470771;0.11459968239068985;0.6613987007732481;0.11773940175771712;0.6684797778608661;0.1130298301577568;110.0;102.0;90.0;0.01
87;False;False;adam;0.01;500;0.6465468154035895;0.12558870017528534;0.6471718011695886;0.1240188404917717;0.6454762548816447;0.13029827177524567;200.0;191.0;173.0;0.01
88;True;True;adam;0.01;500;0.664268993695078;0.1240188404917717;0.6729329075880665;0.11930926144123075;0.6614581378325937;0.11930926144123075;117.0;94.0;118.0;0.001
89;True;False;adam;0.01;500;0.648154910636285;0.12087912112474443;0.6502313311657688;0.11616954207420348;0.6440251141178365;0.12558870017528534;145.0;285.0;188.0;0.001
90;False;True;adam;0.01;500;0.6575110676337261;0.1130298301577568;0.6550545983449256;0.12244898080825806;0.6577440076383354;0.11930926144123075;101.0;102.0;148.0;0.001
91;False;False;adam;0.01;500;0.6484009295093771;0.1240188404917717;0.6473952849955537;0.11773940175771712;0.6475263364273862;0.12558870017528534;215.0;233.0;234.0;0.001
92;True;True;adam;0.01;500;0.666017372061731;0.12244898080825806;0.6610705836601497;0.11930926144123075;0.6688243196560786;0.12244898080825806;112.0;105.0;96.0;0.0001
93;True;False;adam;0.01;500;0.6482086007598805;0.11616954207420348;0.6511787229467598;0.12087912112474443;0.6440896255255121;0.12872841954231262;176.0;260.0;228.0;0.0001
94;False;True;adam;0.01;500;0.6598841426323871;0.1130298301577568;0.6556299063998451;0.11930926144123075;0.6486535324968011;0.1240188404917717;91.0;129.0;91.0;0.0001
95;False;False;adam;0.01;500;0.6468459660628901;0.12087912112474443;0.6455040026684197;0.1240188404917717;0.6474394564351631;0.12872841954231262;214.0;258.0;232.0;0.0001
96;True;True;adam;0.001;10;0.6702842002199434;0.11773940175771712;0.6718838298152343;0.1130298301577568;0.6710296804714053;0.1130298301577568;106.0;112.0;166.0;0.01
97;True;False;adam;0.001;10;0.6523437071445412;0.12087912112474443;0.6467460406069853;0.1240188404917717;0.6447912306763126;0.12558870017528534;202.0;171.0;136.0;0.01
98;False;True;adam;0.001;10;0.6677188969669012;0.12087912112474443;0.6636998014322817;0.11616954207420348;0.6599950438578799;0.11930926144123075;92.0;87.0;85.0;0.01
